Dan	Morgan	told
to	studying	the
studying	the	physical
the	physical	body
physical	body	.
body	.	The
.	The	true
The	true	artist
true	artist	is
artist	is	like
is	like	one
like	one	of
one	of	those
of	those	scientists
those	scientists	who
scientists	who	,
who	,	from
,	from	a
from	a	single
a	single	bone
single	bone	can
bone	can	reconstruct
can	reconstruct	an
reconstruct	an	animal's
an	animal's	entire
animal's	entire	body
entire	body	.
body	.	The
.	The	artist
The	artist	looks
artist	looks	at
looks	at	an
at	an	ankle
an	ankle	,
ankle	,	a
,	a	calf
a	calf	,
calf	,	a
,	a	bosom
a	bosom	and
bosom	and	,
and	,	in
,	in	his
in	his	mind's
his	mind's	eye
mind's	eye	,
eye	,	the
,	the	clothes
the	clothes	drop
clothes	drop	away
drop	away	and
away	and	he
and	he	sees
he	sees	her
sees	her	as
her	as	she
as	she	really
she	really	is
really	is	.
is	.	And
.	And	that
And	that	is
that	is	the
is	the	way
the	way	I
way	I	first
I	first	saw
first	saw	her
saw	her	when
her	when	my
when	my	Uncle
my	Uncle	brought
Uncle	brought	her
brought	her	into
her	into	his
into	his	antique
his	antique	store
antique	store	.
store	.	That
.	That	she
That	she	impressed
she	impressed	me
impressed	me	instantly
me	instantly	was
instantly	was	obvious
was	obvious	;
obvious	;	;
;	;	I
;	I	was
I	was	aware
was	aware	that
aware	that	when
that	when	our
when	our	eyes
our	eyes	met
eyes	met	we
met	we	both
we	both	quickly
both	quickly	averted
quickly	averted	them
averted	them	.
them	.	I
.	I	thought
I	thought	I
thought	I	saw
I	saw	a
saw	a	faint
a	faint	surge
faint	surge	of
surge	of	color
of	color	rise
color	rise	to
rise	to	her
to	her	neck
her	neck	and
neck	and	quickly
and	quickly	suffuse
quickly	suffuse	her
suffuse	her	cheeks
her	cheeks	.
cheeks	.	True
.	True	,
True	,	she
,	she	was
she	was	my
was	my	Aunt
my	Aunt	,
Aunt	,	married
,	married	to
married	to	an
to	an	Uncle
an	Uncle	related
Uncle	related	to
related	to	me
to	me	only
me	only	by
only	by	marriage
by	marriage	,
marriage	,	but
,	but	why
but	why	she
why	she	had
she	had	married
had	married	a
married	a	man
a	man	twice
man	twice	her
twice	her	age
her	age	,
age	,	and
,	and	more
and	more	,
more	,	perhaps
,	perhaps	,
perhaps	,	I
,	I	did
I	did	not
did	not	know
not	know	or
know	or	much
or	much	care
much	care	.
care	.	She
.	She	was
She	was	standing
was	standing	with
standing	with	her
with	her	back
her	back	to
back	to	the
to	the	glass
the	glass	door
glass	door	.
door	.	Her
.	Her	form
Her	form	was
form	was	silhouetted
was	silhouetted	and
silhouetted	and	with
and	with	the
with	the	strong
the	strong	light
strong	light	I
light	I	could
I	could	see
could	see	the
see	the	outlines
the	outlines	of
outlines	of	her
of	her	body
her	body	,
body	,	a
,	a	body
a	body	that
body	that	an
that	an	artist
an	artist	or
artist	or	anyone
or	anyone	else
anyone	else	would
else	would	have
would	have	admired
have	admired	.
admired	.	As
.	As	it
As	it	is
it	is	in
is	in	so
in	so	many
so	many	affairs
many	affairs	of
affairs	of	the
of	the	heart
the	heart	,
heart	,	a
,	a	man
a	man	and
man	and	a
and	a	woman
a	woman	meet
woman	meet	and
meet	and	something
and	something	clicks
something	clicks	.
clicks	.	Something
.	Something	clicked
Something	clicked	in
clicked	in	this
in	this	instance
this	instance	,
instance	,	but
,	but	I
but	I	treated
I	treated	her
treated	her	circumspectly
her	circumspectly	and
circumspectly	and	I
and	I	felt
I	felt	that
felt	that	she
that	she	knew
she	knew	it
knew	it	,
it	,	for
,	for	we
for	we	both
we	both	kept
both	kept	our
kept	our	distance
our	distance	.
distance	.	When
.	When	she
When	she	appeared
she	appeared	at
appeared	at	the
at	the	store
the	store	to
store	to	help
to	help	out
help	out	for
out	for	a
for	a	few
a	few	hours
few	hours	even
hours	even	my
even	my	looking
my	looking	at
looking	at	her
at	her	was
her	was	surreptitious
was	surreptitious	lest
surreptitious	lest	my
lest	my	Uncle
my	Uncle	notice
Uncle	notice	it
notice	it	.
it	.	And
.	And	then
And	then	I
then	I	became
I	became	aware
became	aware	that
aware	that	she
that	she	,
she	,	too
,	too	,
too	,	glanced
,	glanced	at
glanced	at	me
at	me	surreptitiously
me	surreptitiously	.
surreptitiously	.	I
.	I	felt
I	felt	that
felt	that	her
that	her	eyes
her	eyes	were
eyes	were	undressing
were	undressing	me
undressing	me	as
me	as	if
as	if	she
if	she	were
she	were	a
were	a	painter
a	painter	and
painter	and	I
and	I	a
I	a	nude
a	nude	model
nude	model	.
model	.	I
.	I	dismissed
I	dismissed	these
dismissed	these	feelings
these	feelings	as
feelings	as	wishful
as	wishful	thinking
wishful	thinking	but
thinking	but	I
but	I	could
I	could	not
could	not	get
not	get	it
get	it	out
it	out	of
out	of	my
of	my	head
my	head	that
head	that	we
that	we	had
we	had	a
had	a	strong
a	strong	physical
strong	physical	attraction
physical	attraction	for
attraction	for	one
for	one	another
one	another	and
another	and	we
and	we	both
we	both	feared
both	feared	to
feared	to	dwell
to	dwell	on
dwell	on	it
on	it	because
it	because	of
because	of	our
of	our	relationship
our	relationship	.
relationship	.	When
.	When	our
When	our	eyes
our	eyes	met
eyes	met	the
met	the	air
the	air	was
air	was	filled
was	filled	with
filled	with	an
with	an	unuttered
an	unuttered	message
unuttered	message	of
message	of	``
of	``	Me
``	Me	,
Me	,	too
,	too	''
too	''	.
''	.	You
.	You	have
You	have	probably
have	probably	experienced
probably	experienced	this
experienced	this	.
this	.	It
.	It	is
It	is	nothing
is	nothing	you
nothing	you	can
you	can	put
can	put	your
put	your	fingers
your	fingers	on
fingers	on	but
on	but	the
but	the	air
the	air	suddenly
air	suddenly	fills
suddenly	fills	with
fills	with	a
with	a	high
a	high	charge
high	charge	of
charge	of	electricity
of	electricity	.
electricity	.	Why
.	Why	she
Why	she	married
she	married	him
married	him	I
him	I	do
I	do	not
do	not	know
not	know	.
know	.	I
.	I	myself
I	myself	was
myself	was	fond
was	fond	of
fond	of	him
of	him	but
him	but	what
but	what	a
what	a	young
a	young	woman
young	woman	half
woman	half	his
half	his	age
his	age	saw
age	saw	in
saw	in	him
in	him	was
him	was	a
was	a	mystery
a	mystery	to
mystery	to	me
to	me	.
me	.	He
.	He	already
He	already	had
already	had	that
had	that	slow
that	slow	pace
slow	pace	that
pace	that	comes
that	comes	over
comes	over	the
over	the	elderly
the	elderly	,
elderly	,	while
,	while	she
while	she	herself
she	herself	had
herself	had	all
had	all	the
all	the	signs
the	signs	of
signs	of	one
of	one	who
one	who	appreciates
who	appreciates	the
appreciates	the	joys
the	joys	of
joys	of	living
of	living	.
living	.	Perhaps
.	Perhaps	,
Perhaps	,	with
,	with	my
with	my	Uncle
my	Uncle	,
Uncle	,	she
,	she	found
she	found	a
found	a	measure
a	measure	of
measure	of	economic
of	economic	security
economic	security	that
security	that	she
that	she	needed
she	needed	;
needed	;	;
;	;	or
;	or	maybe
or	maybe	she
maybe	she	liked
she	liked	men
liked	men	old
men	old	enough
old	enough	to
enough	to	be
to	be	her
be	her	father
her	father	;
father	;	;
;	;	some
;	some	women
some	women	with
women	with	father
with	father	fixations
father	fixations	do
fixations	do	.
do	.	For
.	For	several
For	several	weeks
several	weeks	we
weeks	we	eyed
we	eyed	one
eyed	one	another
one	another	almost
another	almost	like
almost	like	sparring
like	sparring	partners
sparring	partners	,
partners	,	and
,	and	then
and	then	one
then	one	day
one	day	Uncle
day	Uncle	was
Uncle	was	slightly
was	slightly	indisposed
slightly	indisposed	and
indisposed	and	stayed
and	stayed	home
stayed	home	;
home	;	;
;	;	his
;	his	bride
his	bride	opened
bride	opened	the
opened	the	store
the	store	.
store	.	I
.	I	was
I	was	waiting
was	waiting	in
waiting	in	front
in	front	of
front	of	it
of	it	when
it	when	she
when	she	showed
she	showed	up
showed	up	and
up	and	told
and	told	me
told	me	of
me	of	my
of	my	Uncle's
my	Uncle's	indisposition
Uncle's	indisposition	.
indisposition	.	Even
.	Even	as
Even	as	she
as	she	was
she	was	telling
was	telling	me
telling	me	about
me	about	it
about	it	I
it	I	became
I	became	aware
became	aware	of
aware	of	a
of	a	give-away
a	give-away	flush
give-away	flush	that
flush	that	suffused
that	suffused	her
suffused	her	neck
her	neck	and
neck	and	moved
and	moved	upwards
moved	upwards	to
upwards	to	her
to	her	cheeks
her	cheeks	,
cheeks	,	and
,	and	subconsciously
and	subconsciously	I
subconsciously	I	realized
I	realized	that
realized	that	when
that	when	she
when	she	entered
she	entered	the
entered	the	store
the	store	she
store	she	did
she	did	not
did	not	switch
not	switch	on
switch	on	the
on	the	lights
the	lights	.
lights	.	The
.	The	cavernous
The	cavernous	depth
cavernous	depth	,
depth	,	cluttered
,	cluttered	with
cluttered	with	antiques
with	antiques	,
antiques	,	echoed
,	echoed	to
echoed	to	her
to	her	hard
her	hard	heels
hard	heels	as
heels	as	she
as	she	walked
she	walked	directly
walked	directly	to
directly	to	the
to	the	office
the	office	in
office	in	the
in	the	rear
the	rear	and
rear	and	took
and	took	the
took	the	seat
the	seat	at
seat	at	his
at	his	desk
his	desk	.
desk	.	She
.	She	placed
She	placed	her
placed	her	palms
her	palms	,
palms	,	fingers
,	fingers	outspread
fingers	outspread	,
outspread	,	on
,	on	the
on	the	desk
the	desk	in
desk	in	an
in	an	odd
an	odd	gesture
odd	gesture	as
gesture	as	if
as	if	to
if	to	say
to	say	,
say	,	``
,	``	Now
``	Now	,
Now	,	what
,	what	next
what	next	''
next	''	?
''	?	?
?	?	I
?	I	was
I	was	aware
was	aware	of
aware	of	a
of	a	humid
a	humid	look
humid	look	in
look	in	her
in	her	eyes
her	eyes	that
eyes	that	told
that	told	me
told	me	the
me	the	time
the	time	was
time	was	opportune
was	opportune	.
opportune	.	There
.	There	was
There	was	little
was	little	likelihood
little	likelihood	of
likelihood	of	any
of	any	customers
any	customers	walking
customers	walking	in
walking	in	at
in	at	that
at	that	hour
that	hour	.
hour	.	I
.	I	was
I	was	standing
was	standing	beside
standing	beside	her
beside	her	,
her	,	watching
,	watching	the
watching	the	outspread
the	outspread	palms
outspread	palms	and
palms	and	wondering
and	wondering	about
wondering	about	the
about	the	old
the	old	horsehair
old	horsehair	sofa
horsehair	sofa	against
sofa	against	the
against	the	wall
the	wall	on
wall	on	which
on	which	he
which	he	sometimes
he	sometimes	napped
sometimes	napped	.
napped	.	I
.	I	bent
I	bent	and
bent	and	kissed
and	kissed	the
kissed	the	still
the	still	pink
still	pink	neck
pink	neck	and
neck	and	suddenly
and	suddenly	she
suddenly	she	jumped
she	jumped	up
jumped	up	,
up	,	and
,	and	her
and	her	two
her	two	arms
two	arms	encircled
arms	encircled	me
encircled	me	in
me	in	a
in	a	bear-like
a	bear-like	crush
bear-like	crush	.
crush	.	Her
.	Her	mouth
Her	mouth	,
mouth	,	which
,	which	had
which	had	been
had	been	so
been	so	much
so	much	in
much	in	my
in	my	thoughts
my	thoughts	,
thoughts	,	was
,	was	warm
was	warm	and
warm	and	moist
and	moist	and
moist	and	tender
and	tender	.
tender	.	I
.	I	heard
I	heard	her
heard	her	murmur
her	murmur	,
murmur	,	``
,	``	We'd
``	We'd	better
We'd	better	lock
better	lock	the
lock	the	door
the	door	''
door	''	.
''	.	It
.	It	did
It	did	not
did	not	take
not	take	me
take	me	long
me	long	to
long	to	slip
to	slip	the
slip	the	bolt
the	bolt	securely
bolt	securely	and
securely	and	return
and	return	to
return	to	the
to	the	rear
the	rear	and
rear	and	its
and	its	couch
its	couch	.
couch	.	When
.	When	we
When	we	opened
we	opened	the
opened	the	door
the	door	again
door	again	for
again	for	business
for	business	and
business	and	switched
and	switched	on
switched	on	the
on	the	lights
the	lights	she
lights	she	said
she	said	:
said	:	``
:	``	He
``	He	will
He	will	not
will	not	always
not	always	be
always	be	indisposed
be	indisposed	''
indisposed	''	.
''	.	``
.	``	I
``	I	know
I	know	.
know	.	I
.	I	was
I	was	thinking
was	thinking	about
thinking	about	that
about	that	.
that	.	How
.	How	will
How	will	we
will	we	work
we	work	it
work	it	out
it	out	''
out	''	?
''	?	?
?	?	``
?	``	I
``	I	don't
I	don't	know
don't	know	''
know	''	,
''	,	she
,	she	said
she	said	.
said	.	``
.	``	You're
``	You're	the
You're	the	man
the	man	.
man	.	You
.	You	figure
You	figure	it
figure	it	out
it	out	.
out	.	I've
.	I've	noticed
I've	noticed	the
noticed	the	way
the	way	you've
way	you've	been
you've	been	looking
been	looking	at
looking	at	me
at	me	ever
me	ever	since
ever	since	we
since	we	met
we	met	''
met	''	.
''	.	``
.	``	I
``	I	guess
I	guess	we
guess	we	both
we	both	felt
both	felt	it
felt	it	''
it	''	.
''	.	I
.	I	said
I	said	.
said	.	``
.	``	I
``	I	guess
I	guess	so
guess	so	''
so	''	,
''	,	she
,	she	said
she	said	.
said	.	``
.	``	But
``	But	now
But	now	what
now	what	''
what	''	?
''	?	?
?	?	Even
?	Even	as
Even	as	I
as	I	said
I	said	it
said	it	I
it	I	realized
I	realized	that
realized	that	an
that	an	education
an	education	can
education	can	be
can	be	invaluable
be	invaluable	.
invaluable	.	``
.	``	I
``	I	know
I	know	what
know	what	we
what	we	can
we	can	do
can	do	''
do	''	,
''	,	I
,	I	said
I	said	.
said	.	``
.	``	Tell
``	Tell	him
Tell	him	I
him	I	made
I	made	a
made	a	pass
a	pass	at
pass	at	you
at	you	''
you	''	.
''	.	She
.	She	raised
She	raised	a
raised	a	protesting
a	protesting	hand
protesting	hand	with
hand	with	a
with	a	startled
a	startled	air
startled	air	.
air	.	``
.	``	What
``	What	are
What	are	you
are	you	trying
you	trying	to
trying	to	do
to	do	?
do	?	?
?	?	Get
?	Get	thrown
Get	thrown	out
thrown	out	?
out	?	?
?	?	If
?	If	I
If	I	even
I	even	hint
even	hint	at
hint	at	it
at	it	do
it	do	you
do	you	think
you	think	it
think	it	will
it	will	matter
will	matter	that
matter	that	you
that	you	are
you	are	his
are	his	nephew
his	nephew	--
nephew	--	and
--	and	not
and	not	even
not	even	a
even	a	blood
a	blood	nephew
blood	nephew	''
nephew	''	?
''	?	?
?	?	``
?	``	I
``	I	don't
I	don't	want
don't	want	to
want	to	be
to	be	thrown
be	thrown	out
thrown	out	and
out	and	I
and	I	don't
I	don't	think
don't	think	I
think	I	will
I	will	.
will	.	I
.	I	think
I	think	I
think	I	have
I	have	a
have	a	way
a	way	so
way	so	we
so	we	can
we	can	carry
can	carry	on
carry	on	without
on	without	his
without	his	suspecting
his	suspecting	us
suspecting	us	''
us	''	.
''	.	``
.	``	By
``	By	telling
By	telling	him
telling	him	you
him	you	are
you	are	making
are	making	passes
making	passes	at
passes	at	me
at	me	''
me	''	?
''	?	?
?	?	She
?	She	said
She	said	incredulously
said	incredulously	.
incredulously	.	``
.	``	When
``	When	I
When	I	was
I	was	in
was	in	college
in	college	''
college	''	,
''	,	I
,	I	grinned
I	grinned	,
grinned	,	``
,	``	I
``	I	remember
I	remember	a
remember	a	poem
a	poem	I
poem	I	had
I	had	to
had	to	read
to	read	in
read	in	my
in	my	lit
my	lit	class
lit	class	.
class	.	I
.	I	don't
I	don't	even
don't	even	remember
even	remember	who
remember	who	wrote
who	wrote	it
wrote	it	but
it	but	it
but	it	was
it	was	one
was	one	of
one	of	those
of	those	15th
those	15th	or
15th	or	16th
or	16th	century
16th	century	poets
century	poets	.
poets	.	In
.	In	those
In	those	days
those	days	poems
days	poems	often
poems	often	told
often	told	a
told	a	story
a	story	in
story	in	verse
in	verse	and
verse	and	those
and	those	boys
those	boys	had
boys	had	some
had	some	corkers
some	corkers	to
corkers	to	tell
to	tell	;
tell	;	;
;	;	and
;	and	now
and	now	I
now	I	think
I	think	we
think	we	can
we	can	use
can	use	the
use	the	knowledge
the	knowledge	they
knowledge	they	passed
they	passed	on
passed	on	to
on	to	us
to	us	.
us	.	Tomorrow
.	Tomorrow	Mardi
Tomorrow	Mardi	Gras
Mardi	Gras	opens
Gras	opens	officially
opens	officially	.
officially	.	A
.	A	lot
A	lot	of
lot	of	people
of	people	will
people	will	roam
will	roam	the
roam	the	streets
the	streets	in
streets	in	costumes
in	costumes	and
costumes	and	masks
and	masks	,
masks	,	and
,	and	having
and	having	a
having	a	ball
a	ball	.
ball	.	There
.	There	will
There	will	be
will	be	romance
be	romance	and
romance	and	flirtation
and	flirtation	.
flirtation	.	If
.	If	you
If	you	tell
you	tell	him
tell	him	I
him	I	made
I	made	a
made	a	pass
a	pass	at
pass	at	you
at	you	he
you	he	might
he	might	think
might	think	you
think	you	misunderstood
you	misunderstood	something
misunderstood	something	I
something	I	said
I	said	or
said	or	did
or	did	,
did	,	so
,	so	instead
so	instead	of
instead	of	just
of	just	telling
just	telling	him
telling	him	I
him	I	made
I	made	a
made	a	pass
a	pass	,
pass	,	say
,	say	I
say	I	tried
I	tried	to
tried	to	date
to	date	you
date	you	and
you	and	that
and	that	you
that	you	agreed
you	agreed	so
agreed	so	you
so	you	could
you	could	prove
could	prove	to
prove	to	him
to	him	what
him	what	a
what	a	louse
a	louse	I
louse	I	really
I	really	am
really	am	.
am	.	We
.	We	made
We	made	a
made	a	rendezvous
a	rendezvous	tomorrow
rendezvous	tomorrow	evening
tomorrow	evening	at
evening	at	nine
at	nine	on
nine	on	some
on	some	street
some	street	near
street	near	Lake
near	Lake	Ponchartrain
Lake	Ponchartrain	.
Ponchartrain	.	And
.	And	to
And	to	prove
to	prove	what
prove	what	you
what	you	tell
you	tell	him
tell	him	about
him	about	me
about	me	you
me	you	suggest
you	suggest	that
suggest	that	he
that	he	keep
he	keep	the
keep	the	date
the	date	instead
date	instead	.
instead	.	You
.	You	are
You	are	both
are	both	the
both	the	same
the	same	size
same	size	.
size	.	He
.	He	could
He	could	use
could	use	your
use	your	clothes
your	clothes	for
clothes	for	a
for	a	costume
a	costume	and
costume	and	a
and	a	heavy
a	heavy	veil
heavy	veil	for
veil	for	a
for	a	mask
a	mask	.
mask	.	When
.	When	I
When	I	show
I	show	up
show	up	he
up	he	will
he	will	know
will	know	you
know	you	are
you	are	a
are	a	good
a	good	wife
good	wife	to
wife	to	have
to	have	told
have	told	him
told	him	about
him	about	it
about	it	''
it	''	.
''	.	``
.	``	But
``	But	you
But	you	''
you	''	--
''	--	she
--	she	began
she	began	.
began	.	``
.	``	Don't
``	Don't	worry
Don't	worry	about
worry	about	me
about	me	.
me	.	It
.	It	will
It	will	turn
will	turn	out
turn	out	all
out	all	right
all	right	''
right	''	.
''	.	``
.	``	I
``	I	don't
I	don't	understand
don't	understand	''
understand	''	,
''	,	she
,	she	insisted
she	insisted	.
insisted	.	``
.	``	Are
``	Are	you
Are	you	trying
you	trying	to
trying	to	cut
to	cut	your
cut	your	throat
your	throat	''
throat	''	?
''	?	?
?	?	``
?	``	No
``	No	''
No	''	,
''	,	I
,	I	chuckled
I	chuckled	,
chuckled	,	``
,	``	I'm
``	I'm	just
I'm	just	beginning
just	beginning	to
beginning	to	collect
to	collect	dividends
collect	dividends	on
dividends	on	my
on	my	investment
my	investment	in
investment	in	education
in	education	''
education	''	.
''	.	As
.	As	we
As	we	expected
we	expected	,
expected	,	on
,	on	the
on	the	following
the	following	day
following	day	my
day	my	Uncle
my	Uncle	was
Uncle	was	completely
was	completely	recovered
completely	recovered	and
recovered	and	opened
and	opened	the
opened	the	store
the	store	as
store	as	usual
as	usual	at
usual	at	10
at	10	in
10	in	the
in	the	morning
the	morning	.
morning	.	I
.	I	felt
I	felt	that
felt	that	he
that	he	looked
he	looked	at
looked	at	me
at	me	coldly
me	coldly	and
coldly	and	appraisingly
